new_date,us_sentiment,india_sentiment
2018-10-02,Negative,NULL
2025-08-04,Negative,Neutral
2025-08-04,Negative,Positive
2025-08-04,Negative,Positive
2025-08-04,Negative,Negative
2025-08-04,Negative,Negative
2025-08-04,Negative,Positive
2025-08-04,Negative,Positive
2025-08-04,Negative,Neutral
2025-08-04,Negative,Positive
2025-08-05,Negative,Neutral
2025-08-05,Negative,Positive
2025-08-05,Negative,Positive
2025-08-05,Negative,Negative
2025-08-05,Negative,Negative
2025-08-05,Negative,Positive
2025-08-05,Negative,Positive
2025-08-05,Negative,Neutral
2025-08-05,Negative,Positive
2025-08-20,Negative,Neutral
2025-08-20,Negative,Positive
2025-08-20,Negative,Positive
2025-08-20,Negative,Negative
2025-08-20,Negative,Negative
2025-08-20,Negative,Positive
2025-08-20,Negative,Positive
2025-08-20,Negative,Neutral
2025-08-20,Negative,Positive
2025-09-06,Negative,Neutral
2025-09-06,Negative,Positive
2025-09-06,Negative,Positive
2025-09-06,Negative,Negative
2025-09-06,Negative,Negative
2025-09-06,Negative,Positive
2025-09-06,Negative,Positive
2025-09-06,Negative,Neutral
2025-09-06,Negative,Positive
2025-09-07,Negative,Neutral
2025-09-07,Negative,Positive
2025-09-07,Negative,Positive
2025-09-07,Negative,Negative
2025-09-07,Negative,Negative
2025-09-07,Negative,Positive
2025-09-07,Negative,Positive
2025-09-07,Negative,Neutral
2025-09-07,Negative,Positive
